date,open,high,low,close
"Jul 18, 2017 20:00",112.017,112.085,112.005,112.056
"Jul 18, 2017 19:00",111.974,112.071,111.972,112.02
"Jul 18, 2017 18:00",112.091,112.091,111.965,111.969
"Jul 18, 2017 17:00",112.048,112.112,111.99,112.093
"Jul 18, 2017 16:00",111.891,112.098,111.822,112.046
"Jul 18, 2017 15:00",111.819,111.953,111.809,111.896
"Jul 18, 2017 14:00",111.956,111.962,111.688,111.819
"Jul 18, 2017 13:00",111.867,112.019,111.784,111.958
"Jul 18, 2017 12:00",112.09,112.159,111.772,111.866
"Jul 18, 2017 11:00",112.125,112.185,111.965,112.091
"Jul 18, 2017 10:00",112.2,112.22,112.081,112.123
"Jul 18, 2017 09:00",112.301,112.316,112.195,112.201
"Jul 18, 2017 08:00",112.238,112.376,112.226,112.3
"Jul 18, 2017 07:00",112.164,112.345,112.143,112.237
"Jul 18, 2017 06:00",112.107,112.212,112.061,112.164
"Jul 18, 2017 05:00",112.067,112.15,112.029,112.106
"Jul 18, 2017 04:00",112.153,112.204,112.055,112.071
"Jul 18, 2017 03:00",112.143,112.176,111.985,112.15
"Jul 18, 2017 02:00",112.217,112.32,112.08,112.145
"Jul 18, 2017 01:00",112.414,112.419,112.155,112.212
"Jul 18, 2017 00:00",112.6,112.621,112.382,112.414
"Jul 17, 2017 23:00",112.602,112.659,112.579,112.599
"Jul 17, 2017 22:00",112.641,112.654,112.56,112.605
"Jul 17, 2017 21:00",112.611,112.685,112.61,112.634
"Jul 17, 2017 20:00",112.58,112.637,112.557,112.627
"Jul 17, 2017 19:00",112.62,112.669,112.554,112.581
"Jul 17, 2017 18:00",112.628,112.647,112.58,112.616
"Jul 17, 2017 17:00",112.724,112.731,112.575,112.63
"Jul 17, 2017 16:00",112.759,112.763,112.662,112.722
"Jul 17, 2017 15:00",112.804,112.853,112.73,112.76
"Jul 17, 2017 14:00",112.372,112.866,112.347,112.804
"Jul 17, 2017 13:00",112.455,112.492,112.327,112.374
"Jul 17, 2017 12:00",112.413,112.509,112.349,112.458
"Jul 17, 2017 11:00",112.478,112.503,112.343,112.409
"Jul 17, 2017 10:00",112.463,112.484,112.403,112.48
"Jul 17, 2017 09:00",112.607,112.612,112.465,112.465
"Jul 17, 2017 08:00",112.598,112.625,112.534,112.606
"Jul 17, 2017 07:00",112.633,112.659,112.527,112.594
"Jul 17, 2017 06:00",112.651,112.771,112.594,112.635
"Jul 17, 2017 05:00",112.62,112.678,112.616,112.654
"Jul 17, 2017 04:00",112.598,112.633,112.586,112.62
"Jul 17, 2017 03:00",112.645,112.646,112.539,112.593
"Jul 17, 2017 02:00",112.606,112.693,112.593,112.649
"Jul 17, 2017 01:00",112.538,112.607,112.52,112.605
"Jul 17, 2017 00:00",112.416,112.554,112.416,112.54
